ExpPeriod,ExpCountry,ExpBrkDwn,Value,Internetuse
2002,Austria,age 16 to 24,18.9662,finding information about goods and services
2002,Austria,age 16 to 24,1.3639,selling goods or services
2002,Austria,age 16 to 24,54.35,sending/receiving e-mails
2002,Austria,age 25 to 34,22.5557,finding information about goods and services
2002,Austria,age 25 to 34,2.0341,selling goods or services
2002,Austria,age 25 to 34,44.18,sending/receiving e-mails
2002,Austria,age 25 to 54,19.3306,finding information about goods and services
2002,Austria,age 25 to 54,1.5559,selling goods or services
2002,Austria,age 25 to 54,37.165,sending/receiving e-mails
2002,Austria,age 35 to 44,21.2236,finding information about goods and services
2002,Austria,age 35 to 44,1.6083,selling goods or services
2002,Austria,age 35 to 44,38.7458,sending/receiving e-mails
2002,Austria,age 45 to 54,13.2509,finding information about goods and services
2002,Austria,age 45 to 54,0.9478,selling goods or services
2002,Austria,age 45 to 54,27.2017,sending/receiving e-mails
2002,Austria,age 55 to 64,6.2371,finding information about goods and services
2002,Austria,age 55 to 64,0.4234,selling goods or services
2002,Austria,age 55 to 64,14.042,sending/receiving e-mails
2002,Austria,age 55 to 74,4.1797,finding information about goods and services
2002,Austria,age 55 to 74,0.261,selling goods or services
2002,Austria,age 55 to 74,9.5449,sending/receiving e-mails
2002,Austria,age 65 to 74,1.2868,finding information about goods and services
2002,Austria,age 65 to 74,0.0328,selling goods or services
2002,Austria,age 65 to 74,3.2216,sending/receiving e-mails
2002,Austria,all ages,15.3038,finding information about goods and services
2002,Austria,all ages,1.1892,selling goods or services
2002,Austria,all ages,32.3268,sending/receiving e-mails
2002,Denmark,age 16 to 24,68.5118,finding information about goods and services
2002,Denmark,age 16 to 24,4.7101,selling goods or services
2002,Denmark,age 16 to 24,73.4815,sending/receiving e-mails
2002,Denmark,age 25 to 34,65.8938,finding information about goods and services
2002,Denmark,age 25 to 34,4.1776,selling goods or services
2002,Denmark,age 25 to 34,68.354,sending/receiving e-mails
2002,Denmark,age 25 to 54,57.5263,finding information about goods and services
2002,Denmark,age 25 to 54,3.5629,selling goods or services
2002,Denmark,age 25 to 54,60.8673,sending/receiving e-mails
2002,Denmark,age 35 to 44,59.0337,finding information about goods and services
2002,Denmark,age 35 to 44,4.5833,selling goods or services
2002,Denmark,age 35 to 44,61.397,sending/receiving e-mails
2002,Denmark,age 45 to 54,47.6612,finding information about goods and services
2002,Denmark,age 45 to 54,1.8211,selling goods or services
2002,Denmark,age 45 to 54,52.9565,sending/receiving e-mails
2002,Denmark,age 55 to 64,29.2438,finding information about goods and services
2002,Denmark,age 55 to 64,0.8795,selling goods or services
2002,Denmark,age 55 to 64,37.22,sending/receiving e-mails
2002,Denmark,age 55 to 74,22.3881,finding information about goods and services
2002,Denmark,age 55 to 74,0.8332,selling goods or services
2002,Denmark,age 55 to 74,28.5953,sending/receiving e-mails
2002,Denmark,age 65 to 74,10.9384,finding information about goods and services
2002,Denmark,age 65 to 74,0.7559,selling goods or services
2002,Denmark,age 65 to 74,14.1912,sending/receiving e-mails
2002,Denmark,all ages,49.1753,finding information about goods and services
2002,Denmark,all ages,2.9553,selling goods or services
2002,Denmark,all ages,53.5507,sending/receiving e-mails
2002,European Union,age 16 to 24,36.7446,finding information about goods and services
